id;group_id;date;text
24041;16325867;2025-12-08 20:00:39;"[club194630741|ВАНЯ ДМИТРИЕНКО] — TOUR pt. 2

Ваня Дмитриенко уже давно стал голосом поколения — его песни о любви, поиске себя, радости и боли сопровождали нас в моменты взросления и менялись вместе с нами, а в 2025 году Ваня совершил настоящий прорыв — стал артистом года по версии Яндекс Музыки и занял лидирующие места в топ-чартах.

Сейчас начинается новая глава.

Ваня Дмитриенко выходит на сцену с новым имиджем, живым звучанием, любимыми хитами и презентацией нового EP «эмоции — последствия». Приготовьтесь стать частью шоу, которое вы запомните навсегда!

Билеты: vanyadmitrienko.ru"
24207;16325867;2026-01-23 19:42:32;"Премьера клипа! 

[https://vk.com/demidovru|Alexander Demidov] – Advancement"
24206;16325867;2026-01-23 17:56:45;[id1080276843|@dohmensamuel] оценил «Розовое вино» 🥂
24202;16325867;2026-01-23 04:09:12;"[https://vk.com/elvirat_official|Elvira T] – Приворожила

Дерзкий поп-трек, в котором женская сила подаётся как искусство тонкой магии."
24201;16325867;2026-01-23 04:09:01;"[https://vk.com/public174256877|Арсен Шахунц] – Она девочка, ей можно

Лёгкий, тёплый и жизнерадостный трек Арсен Шахунц, выполненный в узнаваемой манере артиста с танцевальным ритмом и восточным колоритом."
24200;16325867;2026-01-23 04:08:51;"[https://vk.com/bezobid_music|без обид] – прототип

Это агрессивная альтернатива, смешивающая качевый бит, гитарный драйв и злую язвительность, чтобы показать, как звучит ненависть к миру, где все превращается в продукт нейросетей, а сами люди теряют уникальность."
24199;16325867;2026-01-23 04:08:37;"[https://vk.com/volodinakristina|моя волна] - тону

Новый трек о чувствах, которые потерпели поражение в борьбе за счастье."
24198;16325867;2026-01-23 04:08:06;BRZ – Он не знает ничего (BRZ Hardstyle Remix)
24178;16325867;2026-01-16 18:19:56;"Поддержка наших релизов!

[https://vk.com/officialsvyat|Свят] - Банально

Новинки [club147845620|VK Музыка] 
Русский поп: новинки [club147845620|VK Музыка] 
Наши песни о любви [club147845620|VK Музыка] 
Новые песни под гитару [club147845620|VK Музыка] 

Громкие новинки: поп [club27168444|Яндекс Музыка] 
Согреться в непогоду [club27168444|Яндекс Музыка] 
Русская поп-музыка [club27168444|Яндекс Музыка] 
Добавление в жанровый плейлист [club27168444|Яндекс Музыка] 
Рекомендации для Моей волны и умных плейлистов [club27168444|Яндекс Музыка] 
Добавление в Новые релизы на поклонников артиста [club27168444|Яндекс Музыка] 

Поп-музыка [https://vk.com/zvuk_on_air|Звук]
Инди-радар [https://vk.com/zvuk_on_air|Звук]
Грустно [https://vk.com/zvuk_on_air|Звук]

SG 17.06, Лоя, [https://vk.com/5stafamily|5sta Family] – Ya budu

Новинки [club147845620|VK Музыка] 
Сегодня в плеере [club147845620|VK Музыка] 
Русские каверы [club147845620|VK Музыка] 
Ремиксы [club147845620|VK Музыка] 

Русские каверы и ремейки [club27168444|Яндекс Музыка] 
Angelcore [club27168444|Яндекс Музыка] 
Хроника электроника [club27168444|Яндекс Музыка] 
Добавление в жанровый плейлист [club27168444|Яндекс Музыка] 
Рекомендации для Моей волны и умных плейлистов [club27168444|Яндекс Музыка] 
Добавление в Новые релизы на поклонников артиста [club27168444|Яндекс Музыка] 

Новинки недели [https://vk.com/zvuk_on_air|Звук]
Вечеринка [https://vk.com/zvuk_on_air|Звук]
В ремиксе: поп-музыка [https://vk.com/zvuk_on_air|Звук]

[https://vk.com/the_leroo|Leroo] – Незнакомец

Набирающие популярность [club147845620|VK Музыка] 
Лучшее за неделю [club147845620|VK Музыка] 
Лучшее за месяц [club147845620|VK Музыка] 
Сегодня в плеере [club147845620|VK Музыка] 
Стиль на русском [club147845620|VK Музыка] 
Русский поп: выбор редакции [club147845620|VK Музыка] 
Русский альт-поп [club147845620|VK Музыка] 

Разморозка [club27168444|Яндекс Музыка] 
Русский поп: открытия [club27168444|Яндекс Музыка] 
Русская поп-музыка [club27168444|Яндекс Музыка] 
Добавление в жанровый плейлист [club27168444|Яндекс Музыка] 
Рекомендации для Моей волны и умных плейлистов [club27168444|Яндекс Музыка] 
Добавление в Новые релизы на поклонников артиста [club27168444|Яндекс Музыка] 

ГРОМЧЕ: Поп-музыка [https://vk.com/zvuk_on_air|Звук]

[https://vk.com/vtumane.music|вглубь тумана] – Усните все

Набирающие популярность [club147845620|VK Музыка] 
Лучшее за неделю [club147845620|VK Музыка] 
Лучшее за месяц [club147845620|VK Музыка] 
Сегодня в плеере [club147845620|VK Музыка] 
Русский гитарный: выбор редакции [club147845620|VK Музыка] 

Русский рок: открытия [club27168444|Яндекс Музыка] 
Альтернатива [club27168444|Яндекс Музыка] 
Добавление в жанровый плейлист [club27168444|Яндекс Музыка] 
Рекомендации для Моей волны и умных плейлистов [club27168444|Яндекс Музыка] 
Добавление в Новые релизы на поклонников артиста [club27168444|Яндекс Музыка] 

ГРОМЧЕ: Рок [https://vk.com/zvuk_on_air|Звук]
Визуал в сторис «Релизы недели» [https://vk.com/zvuk_on_air|Звук]"
24173;16325867;2026-01-16 04:03:38;"[https://vk.com/officialsvyat|Свят] - Банально

Мечтательный инди-поп с саундтрековым звучанием."
24172;16325867;2026-01-16 04:01:34;"SG 17.06, Лоя, [https://vk.com/5stafamily|5sta Family] – Ya budu

Яркий angelcore релиз с мягкой атмосферой и ощущением полёта."
24171;16325867;2026-01-16 04:01:20;"[https://vk.com/the_leroo|Leroo] – Незнакомец

Песня о любви, ставшей зависимостью."
